"Standard Report - Imports"
"Current date: 06/02/2026 2:14 AM (Eastern Daylight Time)"
"Commodity","Country","Time","Customs Value (Gen) ($US)",
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","January 2025","235,017,488"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","February 2025","126,208,626"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","March 2025","155,771,171"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","April 2025","196,308,387"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","May 2025","145,440,435"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","June 2025","129,227,764"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","July 2025","187,733,817"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","August 2025","86,530,657"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","September 2025","124,349,212"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","October 2025","129,728,193"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","November 2025","124,897,829"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","December 2025","128,533,791"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","January 2026","120,365,696"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","February 2026","100,932,640"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Thailand","March 2026","117,711,513"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","January 2024","43,429,543"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","February 2024","45,791,512"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","March 2024","49,811,123"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","April 2024","52,470,164"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","May 2024","55,859,901"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","June 2024","42,384,724"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","July 2024","49,802,071"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","August 2024","58,036,948"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","September 2024","69,811,293"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","October 2024","64,971,037"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","November 2024","69,964,185"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","December 2024","75,028,042"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","January 2025","183,711,598"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","February 2025","171,034,964"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","March 2025","69,714,368"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","April 2025","20,828,369"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","May 2025","47,956,962"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","June 2025","27,936,748"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","July 2025","38,840,111"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","August 2025","43,426,906"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","September 2025","58,784,678"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","Turkey","October 2025","41,549,743"
